Product Name,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024
Regular,239320,225278,195071,194030,183782,177779,158122,161643,187386,185759,201611,206220,225488,210557,178830,187847,172474,178819
Mid-Grade,13256,12271,11328,10052,10019,8732,8020,7932,9349,9161,11035,11351,12960,11874,9699,10375,6444,9212
Premium,27997,24408,22425,19330,18262,18075,14180,15182,17906,17534,21517,23706,25371,24216,20579,20523,17571,17611
E-15,2882,2375,1935,1909,1326,1358,1628.82,1685.6,1686,2058,2590,2325,2852.5,1477.91,2392,1994.17,1832,1688.3
E-85,5244,5362,4703,3923,2713,2912,2816,2711,3823,3955,4143,4177,4325.43,3238,2819,2399.92,2502,2580
Diesel,22659,23507,21812,21151,20249.74,19511,21148,19678,18708,15921,17115,18715,18617,20219,19301,20291,18467,15495
- FE52 AMERIPLEX Total Gal Sold,311358,293201,257274,250395,236351.74,228367,205914.82,208831.6,238858,234388,258011,266494,289613.93,271581.91000000003,233620,243430.09000000003,219290,225405.3
